Model,MTL,NEXT_ACTIVITY,NEXT_TIME,REMAINING_TIME
CNN,CAGrad,0.1734,10.5148,17.4141
CNN,EW,0.7662,,6.8995
CNN,IMTL,0.0205,10.8862,
CNN,GLS,0.7924,,6.9001
CNN,Nash_MTL,0.7704,,7.0758
CNN,IMTL,0.2387,10.9445,17.6421
CNN,PCGrad,0.0295,10.965,
CNN,DWA,0.7909,,6.6541
CNN,EW,0.6724,,
CNN,Nash_MTL,0.7524,5.56,6.8359
CNN,GLS,0.7898,5.4684,
CNN,DWA,0.7763,5.7497,
CNN,CAGrad,0.0906,,17.9348
CNN,CAGrad,0.0003,10.7368,
CNN,GradDrop,,5.659,7.1649
CNN,GradDrop,0.7761,5.2711,
CNN,IMTL,,10.8666,18.2661
CNN,RLW,,5.5879,7.0241
CNN,GradNorm,0.6727,8.0768,
CNN,PCGrad,,10.7826,17.1543
CNN,GradDrop,0.7842,,6.7787
CNN,EW,0.7645,5.8358,
CNN,EW,,5.5559,
CNN,EW,,5.3769,6.8387
CNN,Nash_MTL,,5.4721,6.8143
CNN,UW,0.7901,5.3719,
CNN,RLW,0.7605,5.5709,
CNN,EW,,,7.0366
CNN,GLS,,5.6799,7.1474
CNN,UW,,5.6286,6.8891
CNN,Nash_MTL,0.7758,5.8712,
CNN,DWA,0.7407,5.8572,7.1703
CNN,IMTL,0.0861,,17.567
CNN,GradNorm,0.6494,8.138,9.9063
CNN,UW,0.7823,,7.0309
CNN,GradNorm,,7.5766,9.5185
CNN,PCGrad,0.006,10.6604,17.7498
CNN,RLW,0.777,,7.0708
CNN,GLS,0.7858,5.5185,6.8907
CNN,RLW,0.752,5.7235,7.4178
CNN,EW,0.7611,5.689,7.1634
CNN,GradNorm,0.4551,,9.2085
CNN,GradDrop,0.7703,5.4741,6.8884
CNN,CAGrad,,10.5473,17.2284
CNN,UW,0.7689,5.6333,7.1282
CNN,PCGrad,0.0341,,18.1767
CNN,DWA,,5.857,7.2703
LSTM,EW,,5.1106,6.4108
LSTM,RLW,0.7931,,6.2193
LSTM,GradDrop,,5.1159,6.2425
LSTM,EW,,,6.4935
LSTM,RLW,0.7982,5.1725,6.4517
LSTM,UW,0.8054,,6.1646
LSTM,EW,0.6802,,
LSTM,IMTL,0.7111,8.5625,
LSTM,IMTL,0.7056,,10.3546
LSTM,UW,,5.211,6.2755
LSTM,Nash_MTL,0.803,5.087,
LSTM,GradDrop,0.7843,5.249,6.4413
LSTM,PCGrad,0.7266,8.7039,10.2256
LSTM,PCGrad,,8.7829,10.6607
LSTM,GradNorm,0.7552,6.0174,
LSTM,GradDrop,0.8008,5.2418,
LSTM,CAGrad,0.7049,8.5511,
LSTM,GradNorm,,6.2787,8.1045
LSTM,DWA,0.7974,5.0917,
LSTM,CAGrad,0.7132,8.3947,10.2381
LSTM,RLW,0.8015,5.308,
LSTM,EW,,5.2248,
LSTM,GLS,0.7995,5.0511,6.2805
LSTM,GradNorm,0.7552,,8.6729
LSTM,UW,0.7994,4.9991,6.2332
LSTM,GLS,0.8055,,6.4198
LSTM,EW,0.8099,5.0791,6.2232
LSTM,Nash_MTL,0.8079,5.1109,6.2843
LSTM,EW,0.8015,5.2066,
LSTM,IMTL,,8.7008,10.2989
LSTM,PCGrad,0.6946,8.7937,
LSTM,PCGrad,0.7026,,10.2445
LSTM,DWA,0.8052,,6.5098
LSTM,Nash_MTL,,5.2008,6.7434
LSTM,CAGrad,,8.4304,10.4421
LSTM,EW,0.7936,,6.355
LSTM,RLW,,5.0639,6.2275
LSTM,GLS,,5.0606,6.4271
LSTM,DWA,,5.3651,6.7238
LSTM,UW,0.7907,5.2912,
LSTM,Nash_MTL,0.7982,,6.2703
LSTM,GradNorm,0.7603,6.3531,8.4411
LSTM,CAGrad,0.6971,,10.2655
LSTM,GLS,0.8056,5.4099,
LSTM,GradDrop,0.7971,,6.5163
LSTM,IMTL,0.7099,8.4837,10.1475
LSTM,DWA,0.8094,5.1898,6.3906
Transformer,IMTL,,7.8399,9.7373
Transformer,GradDrop,0.8104,5.9417,
Transformer,GLS,0.8134,5.2274,6.4591
Transformer,DWA,0.8062,5.7071,
Transformer,UW,0.8207,,6.6597
Transformer,GradNorm,0.7774,6.7761,7.3303
Transformer,GLS,0.8121,,6.3033
Transformer,GLS,0.8069,5.1004,
Transformer,CAGrad,,8.2621,9.4753
Transformer,EW,0.0269,,
Transformer,GradNorm,0.8072,6.6702,
Transformer,PCGrad,0.7832,,9.4486
Transformer,IMTL,0.7517,,11.3531
Transformer,IMTL,0.7756,8.2373,
Transformer,GradDrop,0.8032,5.1001,6.535
Transformer,UW,,5.6529,6.5763
Transformer,DWA,,12.0826,25.0821
Transformer,GradDrop,,6.6735,24.94
Transformer,GLS,,5.8023,24.8776
Transformer,CAGrad,0.7744,8.2443,11.6759
Transformer,PCGrad,0.787,8.4809,9.6716
Transformer,RLW,,12.2348,24.7596
Transformer,DWA,0.8041,,6.5896
Transformer,EW,0.8069,5.6729,
Transformer,EW,,5.4149,6.5276
Transformer,DWA,0.8031,5.3828,6.8357
Transformer,IMTL,0.7704,7.9914,10.6859
Transformer,CAGrad,0.7894,7.7461,
Transformer,RLW,0.806,5.9058,
Transformer,EW,,6.6683,
Transformer,CAGrad,0.7704,,9.2966
Transformer,GradDrop,0.8003,,6.2752
Transformer,Nash_MTL,0.7845,,6.6199
Transformer,GradNorm,,8.4973,12.9357
Transformer,RLW,0.806,5.3278,6.5168
Transformer,EW,0.7947,5.8005,6.4359
Transformer,Nash_MTL,0.8038,5.5146,
Transformer,EW,0.795,,6.6285
Transformer,UW,0.8052,5.1466,
Transformer,Nash_MTL,,5.3045,6.3993
Transformer,PCGrad,,7.7283,9.1797
Transformer,UW,0.8081,5.3651,6.2092
Transformer,Nash_MTL,0.798,5.3337,6.2189
Transformer,GradNorm,0.7901,,24.7483
Transformer,PCGrad,0.77,8.9336,
Transformer,RLW,0.8152,,24.7175
Transformer,EW,,,25.2146
